TABLE 10  EMISSION TRENDS,,,Inventory 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH4,,,Submission 2023 v6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Sheet 3 of 6),,,CYPRUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Base year(1),1990,Change from base to latest reported year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,0.51,0.51,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Fuel combustion (sectoral approach),0.49,0.49,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Energy industries,0.07,0.07,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Manufacturing industries and construction,0.03,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Transport,0.28,0.28,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.  Other sectors,0.10,0.10,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.  Other,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Fugitive emissions from fuels,0.02,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Solid fuels,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Oil and natural gas and other emissions from energy production,0.02,0.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. CO2 transport and storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Industrial processes,"NO,NE,NA","NO,NE,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Mineral industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Chemical industry,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Metal industry,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Non-energy products from fuels and solvent use,"NE,NA","NE,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Electronic industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Product uses as ODS substitutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Other product manufacture and use ,NE,NE,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Other ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Agriculture,12.03,12.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Enteric fermentation,7.88,7.88,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Manure management,4.07,4.07,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Rice cultivation,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Agricultural soils,NE,NE,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Prescribed burning of savannas,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Field burning of agricultural residues,0.08,0.08,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Liming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Urea application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.  Other carbon-containing fertilizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.  Other ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4. Land use, land-use change and forestry",0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Forest land,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Cropland,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Grassland,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Wetlands,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
