TABLE  1  SECTORAL REPORT FOR ENERGY,,,,,,,Inventory 1990
(Sheet 1 of 2),,,,,,,Submission 2023 v6
,,,,,,,CYPRUS
,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2,CH4,N2O,NOX,CO,NMVOC,SO2        
,(kt),,,,,,
Total Energy,3921.78,0.51,0.07,15.99,40.73,8.40,31.87
A. Fuel combustion activities (sectoral approach),3921.78,0.49,0.07,15.79,40.66,7.56,31.42
1. Energy industries,1761.49,0.07,0.01,3.34,0.34,0.46,22.21
a.  Public electricity and heat production,1675.77,0.07,0.01,3.21,0.34,0.05,21.62
b.  Petroleum refining,85.72,0.00,0.00,0.13,NO,0.41,0.59
c.  Manufacture of solid fuels and other energy industries,NO,0.00,0.00,NO,NO,NO,NO
2. Manufacturing industries and construction,502.34,0.03,0.01,2.88,2.14,0.12,2.71
a.  Iron and steel,"NO,IE","NO,IE","NO,IE",0.00,0.00,0.00,0.01
b.  Non-ferrous metals,4.91,0.00,0.00,0.08,0.01,0.00,0.19
c.  Chemicals,2.20,0.00,0.00,0.03,0.00,0.00,0.07
"d.  Pulp, paper and print",4.82,0.00,0.00,0.01,0.00,0.00,0.03
"e.  Food processing, beverages and tobacco",72.57,0.00,0.00,0.23,0.03,0.01,0.54
f.  Non-metallic minerals,379.83,0.03,0.00,1.62,1.89,0.04,0.48
g. Other (please specify),38.01,0.00,0.00,0.90,0.20,0.07,1.40
3. Transport,1216.56,0.28,0.05,8.85,37.66,6.89,4.71
a.  Domestic aviation,26.05,0.00,0.00,0.01,0.00,0.00,0.00
b.  Road transportation,1188.32,0.28,0.05,8.82,37.65,6.88,4.71
c.  Railways,NO,NO,NO,NO,NO,NO,NO
d.  Domestic navigation,2.20,0.00,0.00,0.03,0.01,0.01,0.00
e.  Other transportation,NO,NO,NO,NO,NO,NO,NO
