TABLE 10  EMISSION TRENDS,,,Inventory 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHG CO2 eq emissions,,,Submission 2023 v6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Sheet 1 of 6),,,CYPRUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Base year(1),1990,Change from base to latest reported year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(kt CO2 eq),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (net emissions)(2),5418.66,5418.66,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,3954.35,3954.35,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Fuel combustion (sectoral approach),3953.89,3953.89,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Energy industries,1767.15,1767.15,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Manufacturing industries and construction,504.83,504.83,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Transport,1236.79,1236.79,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.  Other sectors,434.06,434.06,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.  Other,11.06,11.06,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Fugitive emissions from fuels,0.45,0.45,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Solid fuels,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Oil and natural gas and other emissions from energy production,0.45,0.45,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. CO2 transport and storage,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Industrial Processes,727.93,727.93,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Mineral industry,717.07,717.07,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Chemical industry,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Metal industry,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Non-energy products from fuels and solvent use,4.19,4.19,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Electronic industry,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Product uses as ODS substitutes,"NO,NE","NO,NE",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Other product manufacture and use ,6.66,6.66,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Other ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Agriculture,454.27,454.27,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Enteric fermentation,220.61,220.61,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Manure management,171.99,171.99,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Rice cultivation,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Agricultural soils,56.90,56.90,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Prescribed burning of savannas,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Field burning of agricultural residues,2.96,2.96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G. Liming,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H. Urea application,1.82,1.82,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.  Other carbon-containing fertilizers,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.  Other ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4. Land use, land-use change and forestry(2)",-153.07,-153.07,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Forest land,1.51,1.51,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Cropland,-134.23,-134.23,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Grassland,-23.05,-23.05,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Wetlands,"NO,NE","NO,NE",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Settlements ,0.46,0.46,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Other land,0.11,0.11,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Harvested wood products,2.14,2.14,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Other       ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.  Waste,435.18,435.18,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Solid waste disposal ,295.37,295.37,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Biological treatment of solid waste,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Incineration and open burning of waste,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Waste water treatment and discharge,139.82,139.82,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Other ,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.  Other (as specified in summary 1.A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memo items:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International bunkers,908.75,908.75,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation,723.56,723.56,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navigation,185.18,185.18,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multilateral operations,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 emissions from biomass,30.50,30.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 captured,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term storage of C in waste disposal sites,NE,NE,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect N2O,"NO,NE","NO,NE",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect CO2 (3),5.21,5.21,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CO2 equivalent emissions without land use, land-use change and forestry",5571.73,5571.73,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CO2 equivalent emissions with land use, land-use change and forestry",5418.66,5418.66,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CO2 equivalent emissions, including indirect CO2,  without land use, land-use change and forestry",5576.94,5576.94,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
