TABLE 10  EMISSION TRENDS,,,Inventory 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2,,,Submission 2023 v6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Sheet 2 of 6),,,CYPRUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Base year(1),1990,Change from base to latest reported year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,3921.78,3921.78,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Fuel combustion (sectoral approach),3921.78,3921.78,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Energy industries,1761.49,1761.49,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Manufacturing industries and construction,502.34,502.34,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Transport,1216.56,1216.56,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.  Other sectors,430.40,430.40,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.  Other,10.99,10.99,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Fugitive emissions from fuels,"NO,NE","NO,NE",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Solid fuels,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Oil and natural gas and other emissions from energy production,"NO,NE","NO,NE",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. CO2 transport and storage,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Industrial processes,721.26,721.26,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Mineral industry,717.07,717.07,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Chemical industry,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
