TABLE 1.A(a)  SECTORAL BACKGROUND DATA  FOR  ENERGY,,,,,,,,,Inventory 1990
Fuel combustion activities - sectoral approach,,,,,,,,,Submission 2023 v6
(Sheet 2 of 4),,,,,,,,,CYPRUS
,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,AGGREGATE ACTIVITY DATA,,IMPLIED EMISSION FACTORS,,,EMISSIONS,,,
,Consumption ,, CO2(1)   ,CH4,N2O, CO2(2),CH4,N2O, CO2
,,,,,,,,,Amount captured
,(TJ),NCV/GCV(3),(t/TJ),(kg/TJ),,(kt),,,
1.A.2 Manufacturing industries and construction,5939.83,NCV,,,,502.34,0.03,0.01,NO
Liquid fuels,3437.23,NCV,78.72,2.88,0.57,270.60,0.01,0.00,NO
Solid fuels,2502.60,NCV,92.60,10.00,1.50,231.74,0.03,0.00,NO
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other fossil fuels(4),NO,NCV,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,,NO,NO,NO,NO,NO,NO,NO
Biomass(6),NO,NCV,NO,NO,NO,NO,NO,NO,NO
a.  Iron and steel,"NO,IE",NCV,,,,"NO,IE","NO,IE","NO,IE",NO
Liquid fuels,IE,NCV,"NO,IE",IE,IE,IE,IE,IE,NO
Solid fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other fossil fuels(4),NO,,NO,NO,NO,NO,NO,NO,NO
Peat(5),NO,,NO,NO,NO,NO,NO,NO,NO
Biomass(6),NO,,NO,NO,NO,NO,NO,NO,NO
b.  Non-ferrous metals,72.60,NCV,,,,4.91,0.00,0.00,NO
Liquid fuels,72.60,NCV,67.63,1.79,0.28,4.91,0.00,0.00,NO
Solid fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Gaseous fuels,NO,,NO,NO,NO,NO,NO,NO,NO
Other fossil fuels(4),NO,NCV,NO,NO,NO,NO,NO,NO,NO
