TABLE 6 CROSS-SECTORAL REPORT:  Indirect emissions of N2O and CO2,,,,,,,Inventory 1990
(Sheet 1 of 1),,,,,,,Submission 2023 v6
,,,,,,,CYPRUS
,,,,,,,
GREENHOUSE GAS SOURCE AND  SINK CATEGORIES,SOURCE EMISSIONS ,,,,,INDIRECT EMISSIONS,
,CH4,CO,NMVOC, NOx ,NH3,CO2 (1) ,N2O(2)
,(kt),,,,,(kt),
Total ,27.73,43.08,10.15,17.49,0.09,5.21,"NO,NE"
1. Energy,0.51,40.73,8.40,15.99,0.07,NE,NE
2. Industrial processes and product use,"NO,NE,NA","NO,NE,IE,NA",0.00,"NO,NE,IE,NA",0.02,5.21,NE
3. Agriculture (3),12.03,2.30,1.58,1.50,,NE,NE
4. LULUCF (3) ,0.00,0.03,NO,0.00,,NO,NO
5. Waste,15.19,0.03,0.17,0.00,NO,NE,NE
6. Other (please specify),,,,,,,
"(1) Parties may report indirect CO2 from the atmospheric oxidation of CH4, CO and NMVOCs.",,,,,,,
(2) Parties may report indirect emissions of N2O from sources other than agriculture and LULUCF.,,,,,,,
"(3) Indirect emissions of N2O resulting from ammonia emissions are covered in the sectoral tables for agriculture and LULUCF. In this table, only indirect N2O emissions resulting from NOx emissions are to be included.",,,,,,,
