TABLE  1  SECTORAL REPORT FOR ENERGY,,,,,,,Inventory 1990
(Sheet 1 of 2),,,,,,,Submission 2023 v3
,,,,,,,NEW ZEALAND
,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2,CH4,N2O,NOX,CO,NMVOC,SO2        
,(kt),,,,,,
Total Energy,22486.66,46.96,0.74,99.51,555.58,108.68,50.62
A. Fuel combustion activities (sectoral approach),22026.93,8.09,0.74,99.51,555.58,94.47,47.87
1. Energy industries,5979.07,0.10,0.02,22.42,2.36,0.47,7.92
a.  Public electricity and heat production,3484.93,0.06,0.01,13.13,1.68,0.28,2.03
b.  Petroleum refining,778.88,0.02,0.00,2.60,0.19,0.06,5.89
c.  Manufacture of solid fuels and other energy industries,1715.25,0.03,0.00,6.70,0.48,0.13,NO
2. Manufacturing industries and construction,4676.53,1.17,0.17,21.09,25.26,3.41,24.97
a.  Iron and steel,116.16,0.00,0.00,0.49,0.04,0.01,NO
b.  Non-ferrous metals,37.76,0.00,0.00,0.11,0.30,0.06,0.02
c.  Chemicals,535.47,0.01,0.00,2.09,0.21,0.05,0.02
"d.  Pulp, paper and print",507.21,0.86,0.12,4.12,20.01,1.77,12.22
"e.  Food processing, beverages and tobacco",1663.11,0.13,0.02,5.84,0.96,0.38,5.41
f.  Non-metallic minerals,493.03,0.05,0.01,1.87,0.12,0.10,3.12
g. Other (please specify),1323.78,0.12,0.03,6.57,3.64,1.04,4.18
3. Transport,7936.45,3.17,0.37,39.40,377.04,73.91,5.16
a.  Domestic aviation,940.31,0.01,0.03,3.82,1.58,0.24,0.06
b.  Road transportation,6659.33,3.14,0.31,29.22,374.49,73.38,1.94
c.  Railways,78.39,0.00,0.03,0.73,0.34,0.12,0.12
d.  Domestic navigation,252.92,0.02,0.01,5.61,0.61,0.18,3.04
e.  Other transportation,5.50,0.00,0.00,0.02,0.00,0.00,NO
