TABLE 10  EMISSION TRENDS,,,Inventory 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2,,,Submission 2023 v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Sheet 2 of 6),,,NEW ZEALAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Base year(1),1990,Change from base to latest reported year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,22486.66,22486.66,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Fuel combustion (sectoral approach),22026.93,22026.93,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Energy industries,5979.07,5979.07,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Manufacturing industries and construction,4676.53,4676.53,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Transport,7936.45,7936.45,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.  Other sectors,3434.88,3434.88,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.  Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Fugitive emissions from fuels,459.73,459.73,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Solid fuels,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Oil and natural gas and other emissions from energy production,459.73,459.73,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. CO2 transport and storage,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Industrial processes,2519.96,2519.96,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Mineral industry,561.87,561.87,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Chemical industry,175.40,175.40,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Metal industry,1757.51,1757.51,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Non-energy products from fuels and solvent use,25.17,25.17,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Electronic industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Product uses as ODS substitutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Other product manufacture and use ,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Other ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Agriculture,335.68,335.68,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Enteric fermentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Manure management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Rice cultivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Agricultural soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Prescribed burning of savannas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Field burning of agricultural residues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Liming,296.48,296.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Urea application,39.19,39.19,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.  Other carbon-containing fertilizers,NE,NE,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.  Other ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4. Land use, land-use change and forestry (2)",-20565.17,-20565.17,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Forest land,-19275.86,-19275.86,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Cropland,469.02,469.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Grassland,641.98,641.98,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Wetlands,-8.44,-8.44,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Settlements ,75.68,75.68,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Other land,13.66,13.66,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Harvested wood products,-2481.21,-2481.21,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Other       ,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.  Waste,158.91,158.91,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Solid waste disposal ,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Biological treatment of solid waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Incineration and open burning of waste,158.91,158.91,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Waste water treatment and discharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Other ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.  Other (as specified in summary 1.A),1.30,1.30,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Tokelau_1. Energy,1.25,1.25,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Tokelau_2. Industrial Processes and Product Use,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Tokelau_3. Agriculture,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Tokelau_5. Waste,0.05,0.05,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memo items: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International bunkers,2349.10,2349.10,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation,1321.65,1321.65,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navigation,1027.45,1027.45,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multilateral operations,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 emissions from biomass,3937.74,3937.74,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 captured,"NO,IE,NA","NO,IE,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term storage of C in waste disposal sites,2534.78,2534.78,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect N2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indirect CO2 (3),"NO,NE","NO,NE",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CO2 equivalent emissions without land use, land-use change and forestry",25502.51,25502.51,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CO2 equivalent emissions with land use, land-use change and forestry",4937.34,4937.34,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CO2 equivalent emissions, including indirect CO2,  without land use, land-use change and forestry",NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total CO2 equivalent emissions, including indirect CO2,  with land use, land-use change and forestry",NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
