TABLE 10  EMISSION TRENDS,,,Inventory 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHG CO2 eq emissions,,,Submission 2023 v3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Sheet 1 of 6),,,NEW ZEALAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Base year(1),1990,Change from base to latest reported year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(kt CO2 eq),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total (net emissions)(2),44548.84,44548.84,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Energy,23880.30,23880.30,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Fuel combustion (sectoral approach),22448.97,22448.97,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Energy industries,5986.88,5986.88,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Manufacturing industries and construction,4757.72,4757.72,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Transport,8126.19,8126.19,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.  Other sectors,3578.19,3578.19,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.  Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Fugitive emissions from fuels,1431.33,1431.33,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  Solid fuels,328.03,328.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Oil and natural gas and other emissions from energy production,1103.30,1103.30,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. CO2 transport and storage,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.  Industrial Processes,3579.92,3579.92,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Mineral industry,561.87,561.87,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Chemical industry,203.00,203.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Metal industry,2670.20,2670.20,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Non-energy products from fuels and solvent use,25.17,25.17,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Electronic industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Product uses as ODS substitutes,"NO,NA","NO,NA",0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Other product manufacture and use ,119.68,119.68,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Other ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Agriculture,33312.05,33312.05,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Enteric fermentation,26960.43,26960.43,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Manure management,771.73,771.73,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Rice cultivation,NO,NO,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Agricultural soils,5216.82,5216.82,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Prescribed burning of savannas,IE,IE,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Field burning of agricultural residues,27.39,27.39,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G. Liming,296.48,296.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H. Urea application,39.19,39.19,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.  Other carbon-containing fertilizers,NE,NE,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.  Other ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4. Land use, land-use change and forestry(2)",-20171.23,-20171.23,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Forest land,-19045.18,-19045.18,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Cropland,476.52,476.52,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Grassland,756.82,756.82,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Wetlands,-8.44,-8.44,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Settlements ,75.69,75.69,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.  Other land,13.77,13.77,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.  Harvested wood products,-2481.21,-2481.21,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.  Other       ,NA,NA,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.  Waste,3944.63,3944.63,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Solid waste disposal ,3318.20,3318.20,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.  Biological treatment of solid waste,4.70,4.70,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.  Incineration and open burning of waste,315.72,315.72,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.  Waste water treatment and discharge,306.01,306.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Other ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.  Other (as specified in summary 1.A),3.17,3.17,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Tokelau_1. Energy,1.26,1.26,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Tokelau_2. Industrial Processes and Product Use,0.05,0.05,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Tokelau_3. Agriculture,1.15,1.15,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
