TABLE 8  RECALCULATION - RECALCULATED DATA,,,,,,,,,,,,,,,,,Recalculated year:,Inventory 1990
(Sheet 3 of 4),,,,,,,,,,,,,,,,,,Submission 2023 v3
,,,,,,,,,,,,,,,,,,NEW ZEALAND
,,,,,,,,,,,,,,,,,,
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2,,,,,,CH4,,,,,,N2O,,,,,
,Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3),Previous submission,Latest submission,Difference,Difference(1) ,Impact of recalculation on total emissions excluding LULUCF(2),Impact of recalculation on total emissions including LULUCF(3)
,CO2 equivalent (kt),,,(%),,,CO2 equivalent (kt),,,(%),,,CO2 equivalent (kt),,,(%),,
5.  Waste,158.91,158.91,0.00,0.00,0.00,0.00,3670.81,3672.33,1.52,0.04,0.00,0.00,113.39,113.39,-0.01,-0.01,-0.00,-0.00
A.  Solid waste disposal ,"NO,NA","NO,NA",,,,,3318.21,3318.20,-0.00,-0.00,-0.00,-0.00,,,,,,
B.  Biological treatment of solid waste,,,,,,,2.74,2.74,0.00,0.00,0.00,0.00,1.96,1.96,0.00,0.00,0.00,0.00
C.  Incineration and open burning of waste,158.91,158.91,0.00,0.00,0.00,0.00,127.35,127.35,0.00,0.00,0.00,0.00,29.46,29.46,0.00,0.00,0.00,0.00
D.  Waste water treatment and discharge,,,,,,,222.51,224.04,1.52,0.69,0.00,0.00,81.98,81.97,-0.01,-0.01,-0.00,-0.00
E.  Other ,,,,,,,,,,,,,,,,,,
6.  Other (as specified in summary 1.A),1.30,1.30,0.00,0.00,0.00,0.00,1.78,1.78,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,
Memo items: ,,,,,,,,,,,,,,,,,,
International bunkers,2349.10,2349.10,0.00,0.00,0.00,0.00,2.19,2.19,0.00,0.00,0.00,0.00,22.35,22.35,0.00,0.00,0.00,0.00
Aviation,1321.65,1321.65,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.00,0.00,0.00,11.01,11.01,0.00,0.00,0.00,0.00
Navigation,1027.45,1027.45,0.00,0.00,0.00,0.00,1.96,1.96,0.00,0.00,0.00,0.00,11.34,11.34,0.00,0.00,0.00,0.00
Multilateral operations,NO,NO,,,,,NO,NO,,,,,NO,NO,,,,
CO2 emissions from biomass,3937.74,3937.74,0.00,0.00,0.00,0.00,,,,,,,,,,,,
CO2 captured,"NO,IE,NA","NO,IE,NA",,,,,,,,,,,,,,,,
Long-term storage of C in waste disposal sites,2534.78,2534.78,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Indirect N2O,,,,,,,,,,,,,40.83,40.81,-0.02,-0.05,-0.00,-0.00
,,,,,,,,,,,,,,,,,,
Indirect CO2 ,"NO,NE","NO,NE",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Note: All footnotes for this table are given at the end of the table on sheet 4.,,,,,,,,,,,,,,,,,,
