TABLE 9  COMPLETENESS  - INFORMATION ON NOTATION KEYS,,,,Inventory 1990,
(Sheet 1 of 1),,,,Submission 2023 v3,
,,,,NEW ZEALAND,
,,,,,
"Sources and sinks not estimated (""NE"")(1)",,,,,
GHG,Sector(2),Source/sink category(2),Explanation,,
C,Energy,1.AB  Fuel Combustion - Reference Approach/Biomass/Other non-fossil fuels (biogenic waste),Data unavailable.,,
C,Energy,1.AB  Fuel Combustion - Reference Approach/Waste (non-biomass fraction),Data unavailable.,,
CH4,Agriculture,3.1  Livestock/3.A  Enteric Fermentation/3.A.4  Other livestock/Poultry,"NE: This category is not mandatory. The 2006 IPCC guidelines state in p.10.27, vol 4-2 that a T1 method for estimating CH4 emissions from Enteric fermentation for poultry has not been developed. Also, table 10-10 in p.10.28, vol 4-2 indicates that there is insufficient data to establish a CH4 EF for Poultry for either developed or developing countries.",,
CH4,Energy,1.B  Fugitive Emissions from Fuels/1.B.2  Oil and Natural Gas and Other Emissions from Energy Production/1.B.2.a  Oil/1.B.2.a.5  Distribution of Oil Products,No emission factors are given in the guidelines.,,
CH4,Energy,1.B  Fugitive Emissions from Fuels/1.B.2  Oil and Natural Gas and Other Emissions from Energy Production/1.B.2.b  Natural Gas/1.B.2.b.3  Processing,Not significant.,,
CH4,Energy,1.B  Fugitive Emissions from Fuels/1.B.2  Oil and Natural Gas and Other Emissions from Energy Production/1.B.2.c  Venting and Flaring/1.B.2.c.1  Venting/1.B.2.c.1.ii  Gas,"The fields produce both oil and gas and, therefore are reported as combined. Disaggregated data does not exist.",,
CH4,LULUCF,4.B  Cropland/4.B.1  Cropland Remaining Cropland/4(V)  Biomass Burning/Wildfires/Cropland remaining cropland,New Zealand does not have sufficient information on biomass burning activities to reliably report on it.,,
CH4,LULUCF,4.B  Cropland/4.B.2  Land Converted to Cropland/4(V)  Biomass Burning/Wildfires/Land converted to cropland,New Zealand does not have sufficient information on this activity to reliably report on it.,,
CH4,LULUCF,4.D  Wetlands/4.D.1  Wetlands Remaining Wetlands/4(V)  Biomass Burning/Wildfires/Wetland remaining wetland,No IPCC guidance is provided for calculating Tier 1 estimates of carbon stock changes in organic soils for this land-use category. New Zealand does not have sufficient information on biomass burning activities to reliably report on it.,,
CH4,Waste,5.C  Incineration and Open Burning of Waste/5.C.1  Waste Incineration/5.C.1.2  Non-biogenic/5.C.1.2.a  Municipal Solid Waste,"Approximately 100-200 rural schools in New Zealand still incinerate their waste production. Estimates indicate that this practice emits 0.04 kt CO2-e per year. NE (not estimated) is used because New Zealand does not have sufficient information regarding the practice of incinerating waste in schools, and the amount is negligible. This is in accordance with paragraph 37 (b) of the UNFCCC guidelines.",,
